land,er_eu_medlem,er_geografisk_europa,financial_allocation,humanitarian_allocation,military_allocation,total_allocation,financial_commitment,humanitarian_commitment,military_commitment,total_commitment
Romania,True,True,0.0,0.12301101031625243,0.41432953933586364,0.5373405496521161,0.0,0.12301101031625243,0.41432953933586364,0.5373405496521161
Slovakia,True,True,0.005,0.01935124514583333,0.6964642323807152,0.7208154775265485,0.005,0.0177637333125,0.6964642323807152,0.7192279656932152
Slovenia,True,True,0.0,0.019409296758314102,0.11561865008175629,0.13502794684007038,0.0,0.021910276758314102,0.11561865008175629,0.1375289268400704
Spain,True,True,0.4707,0.3153124195144559,1.4417222877468334,2.2277347072612894,0.4707,0.3133124195144559,2.7040229423927253,3.488035361907181
Sweden,True,True,0.2967027169744978,0.8742902222664004,9.149259440682789,10.320252379923687,2.8611075438683393,0.8039283723470081,15.522491377687754,19.187527293903102
Switzerland,False,True,0.22529351243393886,0.9370239810486771,0.0,1.162317493482616,0.272092950840678,5.530565388181165,0.0,5.802658339021843
Turkiye,False,False,0.0,0.004541827216951435,0.06624320681336232,0.07078503403031376,0.0,0.004541827216951435,0.06624320681336232,0.07078503403031376
United Kingdom,False,True,3.7532059209134707,1.3588819463903914,14.897166072863701,20.009253940167564,5.610362987242415,1.4036135400162648,25.330439384575477,32.344415911834155
United States,False,False,47.29718240785592,3.4665807705906357,64.61688619376132,115.38064937220787,49.96455913803612,3.4174602367970954,65.58131693752397,118.96333631235719
China,False,False,0.0,0.002345430326683743,0.0,0.002345430326683743,0.0,0.002345430326683743,0.0,0.002345430326683743
Taiwan,False,False,0.004,0.04869741959739326,0.0,0.052697419597393255,0.004,0.0918294254672498,0.0,0.0958294254672498
India,False,False,0.0,0.0027113388999334786,0.0,0.0027113388999334786,0.0,0.0027113388999334786,0.0,0.0027113388999334786
Total,False,False,158.09152135104614,25.37096339509897,166.46389170627492,349.92637645241996,286.2126499883115,32.308872353424654,226.97671157560364,545.49823391734
