land,er_eu_medlem,er_geografisk_europa,financial_allocation,humanitarian_allocation,military_allocation,total_allocation,financial_commitment,humanitarian_commitment,military_commitment,total_commitment,total_allocation_inkl_eu,total_commitment_inkl_eu
Netherlands,True,True,0.7158754129955948,1.1188293318914109,8.606606989331466,10.441311734218472,1.0553754129955948,1.6264294542056823,11.04048286611139,13.722287733312667,14.463614085167523,22.79074695944923
New Zealand,False,False,0.004863015349737765,0.03923795084830736,0.035861821723705174,0.0799627879217503,0.004863015349737765,0.03923795084830736,0.035861821723705174,0.0799627879217503,0.0799627879217503,0.0799627879217503
Norway,False,True,2.0346258729501705,1.7799580386131981,6.190492270710976,10.005076182274344,5.032099090501575,1.6645724385286627,18.02742187040849,24.724093399438726,10.005076182274344,24.724093399438726
Poland,True,True,0.9129993382110212,0.4992562301865118,4.451809617993539,5.8640651863910715,0.9129993382110212,0.4992562301865118,4.998780886376765,6.4110364547742975,9.229451890392436,13.989610245294692
Portugal,True,True,0.000105,0.0023174746475389564,0.38213635100842575,0.3845588256559647,0.000105,0.0023174746475389564,0.5253800549375974,0.5278025295851364,1.7389944962350445,3.6163690866253364
South Korea,False,False,0.19396573708028436,0.4303202807931652,0.0145063379232248,0.6387923557966743,2.3210778940034724,0.43644307523996234,0.0145063379232248,2.7720273071666597,0.6387923557966743,2.7720273071666597
Romania,True,True,0.0,0.12301101031625243,0.41432953933586364,0.5373405496521161,0.0,0.12301101031625243,0.41432953933586364,0.5373405496521161,1.9121972931510127,3.6834449681227492
Slovakia,True,True,0.005,0.01935124514583333,0.6964642323807152,0.7208154775265485,0.005,0.0177637333125,0.6964642323807152,0.7192279656932152,1.3090567197411442,2.064479057298753
Slovenia,True,True,0.0,0.019409296758314102,0.11561865008175629,0.13502794684007038,0.0,0.021910276758314102,0.11561865008175629,0.1375289268400704,0.4454533731637643,0.8424281287300819
Spain,True,True,0.4707,0.3153124195144559,1.4417222877468334,2.2277347072612894,0.4707,0.3133124195144559,2.7040229423927253,3.488035361907181,9.869262192861928,20.65908250232652
Sweden,True,True,0.2967027169744978,0.8742902222664004,9.149259440682789,10.320252379923687,2.8611075438683393,0.8039283723470081,15.522491377687754,19.187527293903102,13.132995963000617,25.53672395902643
Switzerland,False,True,0.22529351243393886,0.9370239810486771,0.0,1.162317493482616,0.272092950840678,5.530565388181165,0.0,5.802658339021843,1.162317493482616,5.802658339021843
Turkiye,False,False,0.0,0.004541827216951435,0.06624320681336232,0.07078503403031376,0.0,0.004541827216951435,0.06624320681336232,0.07078503403031376,0.07078503403031376,0.07078503403031376
United Kingdom,False,True,3.7532059209134707,1.3588819463903914,14.897166072863701,20.009253940167564,5.610362987242415,1.4036135400162648,25.330439384575477,32.344415911834155,20.009253940167564,32.344415911834155
United States,False,False,47.29718240785592,3.4665807705906357,64.61688619376132,115.38064937220787,49.96455913803612,3.4174602367970954,65.58131693752397,118.96333631235719,115.38064937220787,118.96333631235719
China,False,False,0.0,0.002345430326683743,0.0,0.002345430326683743,0.0,0.002345430326683743,0.0,0.002345430326683743,0.002345430326683743,0.002345430326683743
Taiwan,False,False,0.004,0.04869741959739326,0.0,0.052697419597393255,0.004,0.0918294254672498,0.0,0.0958294254672498,0.052697419597393255,0.0958294254672498
India,False,False,0.0,0.0027113388999334786,0.0,0.0027113388999334786,0.0,0.0027113388999334786,0.0,0.0027113388999334786,0.0027113388999334786,0.0027113388999334786
